date,customer,product,category,region,quantity,price
2024-06-04,Kavya,Tablet,Electronics,North,1,13458
2024-07-05,Vikas,Laptop,Electronics,North,5,50995
2024-05-31,Kavya,Tablet,Electronics,West,4,14403
2024-09-03,Sneha,Headphones,Accessories,West,2,1950
2024-06-14,Rohan,Keyboard,Accessories,West,1,2757
2024-09-09,Rahul,Phone,Electronics,West,3,21097
2024-03-19,Vikas,Tablet,Electronics,South,5,13683
2024-08-06,Rohan,Phone,Electronics,West,2,20316
2024-11-20,Kavya,Tablet,Electronics,East,1,13990
2024-06-12,Rahul,Monitor,Electronics,West,3,10124
2024-07-28,Arjun,Tablet,Electronics,South,3,13704
2024-08-07,Vikas,Tablet,Electronics,South,2,15981
2024-04-23,Rohan,Tablet,Electronics,North,1,16369
2024-02-08,Rohan,Laptop,Electronics,North,4,51042
2024-08-28,Vikas,Tablet,Electronics,North,1,13180
2024-10-12,Rahul,Phone,Electronics,South,3,21271
2024-05-06,Vikas,Phone,Electronics,East,4,18599
2024-09-26,Sneha,Tablet,Electronics,South,4,16334
2024-04-15,Sneha,Headphones,Accessories,South,3,1886
2024-12-29,Priya,Phone,Electronics,East,4,18256
2024-09-16,Rohan,Keyboard,Accessories,North,5,1235
2024-11-15,Aditi,Keyboard,Accessories,East,5,3389
2024-06-01,Kavya,Tablet,Electronics,South,3,14419
2024-02-28,Rohan,Keyboard,Accessories,West,2,2257
2024-03-29,Kavya,Keyboard,Accessories,East,3,31
2024-02-10,Sneha,Keyboard,Accessories,West,4,1269
2024-08-28,Rahul,Monitor,Electronics,North,5,13300
2024-01-15,Sneha,Monitor,Electronics,East,4,12965
2024-05-17,Kavya,Monitor,Electronics,East,2,11757
2024-04-06,Priya,Laptop,Electronics,West,5,50340
2024-08-01,Priya,Laptop,Electronics,South,4,49158
2024-11-13,Rohan,Keyboard,Accessories,North,1,3186
2024-04-27,Aditi,Tablet,Electronics,South,4,15092
2024-11-21,Rohan,Headphones,Accessories,West,1,2616
2024-05-20,Rohan,Laptop,Electronics,East,3,48675
2024-01-11,Sneha,Headphones,Accessories,North,4,3448
2024-09-25,Rohan,Monitor,Electronics,East,2,12827
2024-03-27,Sneha,Headphones,Accessories,North,3,4205
2024-06-11,Kavya,Laptop,Electronics,North,1,48185
2024-12-19,Arjun,Keyboard,Accessories,East,5,3346
2024-11-03,Arjun,Monitor,Electronics,East,2,10153
2024-03-17,Kavya,Monitor,Electronics,East,2,10910
2024-04-04,Priya,Phone,Electronics,South,3,19839
2024-06-06,Vikas,Keyboard,Accessories,West,5,1794
2024-12-31,Arjun,Headphones,Accessories,South,2,2716
2024-07-03,Aditi,Tablet,Electronics,South,5,13974
2024-07-13,Kavya,Monitor,Electronics,South,4,10742
2024-03-15,Rahul,Monitor,Electronics,East,3,12892
2024-09-24,Rahul,Laptop,Electronics,South,3,50713
2024-01-02,Kavya,Tablet,Electronics,East,5,14045
2024-08-22,Sneha,Tablet,Electronics,North,4,15252
2024-08-14,Rahul,Phone,Electronics,East,3,19194
2024-01-19,Rahul,Tablet,Electronics,East,1,16731
2024-09-19,Vikas,Phone,Electronics,East,4,19595
2024-07-09,Sneha,Laptop,Electronics,West,3,51211
2024-12-04,Aditi,Laptop,Electronics,South,3,50790
